Show,AverageSentimentScore
Adolescence,0.2746
BadInfluence,-0.0616
BlackMirror,0.1438
DevilMayCry,0.0995
GoneGirls,-0.2895
LoveOnTheSpectrum,0.5617
NorthofNorth,0.4543
Pulse,0.0506
TheResidence,0.4191
WWERaw,0.036
